Dataset,BF Time,BF Qual,BF Full?,App Time,App Qual,App Err,LS Time,LS Qual,LS Err
Atlanta.tsp,60.0000,3630534,No,0.0004,2380448,0.1880,60,2041449.2,0.0188
Berlin.tsp,60.0001,19249,No,0.0002,10402,0.3792,60,7580.7,0.0051
Boston.tsp,60.0000,2226767,No,0.0002,1150963,0.2881,60,918733.2,0.0282
Champaign.tsp,60.0000,214880,No,0.0002,65712,0.2483,60,52757.7,0.0022
Cincinnati.tsp,0.3387,277952,Yes,0.0001,301216,0.0837,60,278181.1,0.0008
Denver.tsp,60.0001,546925,No,0.0003,134748,0.3417,60,101443.5,0.0101
NYC.tsp,60.0001,7210976,No,0.0003,2027107,0.2936,60,1637123.5,0.0447
Philadelphia.tsp,60.0001,3624919,No,0.0002,1646249,0.1793,60,1421014.3,0.0179
Roanoke.tsp,60.0001,6849948,No,0.0010,838282,0.2679,60,674848.4,0.0207
SanFrancisco.tsp,60.0001,5600573,No,0.0004,1134989,0.3753,60,861599.4,0.0440
Toronto.tsp,60.0001,9178799,No,0.0004,1675105,0.3427,60,1280699.9,0.0266
UKansasState.tsp,0.2625,62962,Yes,0.0001,68090,0.0814,60,62962.0,0.0000
UMissouri.tsp,60.0001,662935,No,0.0004,178249,0.3432,60,134289.5,0.0119
